grid_id,target_year,target_is_hotspot,predicted_hotspot,predicted_probability_stage9,confusion_type,log_previous_count,previous_hotspot,shap_log_previous_count,shap_previous_hotspot
R046_C075,2024,0,0,0.08479219087228605,True negative,2.833213344056216,0,8.703645833630494,-0.0024816942738633083
R033_C080,2024,0,0,0.002673672923127726,True negative,2.302585092994046,0,5.160968665465588,-0.0024816942738633083
R102_C052,2024,0,0,0.002673672923127726,True negative,2.302585092994046,0,5.160968665465588,-0.0024816942738633083
R018_C091,2024,0,0,0.005039993971908603,True negative,2.3978952727983707,0,5.797295881761715,-0.0024816942738633083
R028_C070,2024,0,0,5.9083840806754096e-06,True negative,1.3862943611198906,0,-0.9565387396034916,-0.0024816942738633083
R065_C072,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R117_C066,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R064_C057,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R131_C062,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R033_C084,2024,0,1,0.7216193143239186,False positive,3.332204510175204,0,12.035101721603185,-0.0024816942738633083
R077_C078,2024,0,1,0.5488146483718718,False positive,3.218875824868201,0,11.278476070534667,-0.0024816942738633083
R086_C055,2024,0,0,8.852897499702268e-05,True negative,1.791759469228055,0,1.7505014115889328,-0.0024816942738633083
R060_C085,2024,0,0,8.65629632656729e-07,True negative,1.0986122886681096,0,-2.8772142930162667,-0.0024816942738633083
R050_C097,2024,0,0,2.621007218088068e-05,True negative,1.6094379124341005,0,0.533252960860389,-0.0024816942738633083
R051_C039,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R075_C067,2024,0,0,0.002673672923127726,True negative,2.302585092994046,0,5.160968665465588,-0.0024816942738633083
R015_C034,2024,0,0,0.002673672923127726,True negative,2.302585092994046,0,5.160968665465588,-0.0024816942738633083
R111_C072,2024,1,1,0.9999788812875678,True positive,4.795790545596741,1,21.806561912337322,0.03887987695719184
R062_C062,2024,0,0,5.9083840806754096e-06,True negative,1.3862943611198906,0,-0.9565387396034916,-0.0024816942738633083
R138_C028,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R045_C041,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R128_C064,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R178_C043,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R004_C019,2024,0,0,5.9083840806754096e-06,True negative,1.3862943611198906,0,-0.9565387396034916,-0.0024816942738633083
R178_C030,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R099_C077,2024,0,0,2.621007218088068e-05,True negative,1.6094379124341005,0,0.533252960860389,-0.0024816942738633083
R071_C059,2024,0,0,0.27524593511421913,True negative,3.044522437723423,0,10.114426168190413,-0.0024816942738633083
R056_C074,2024,1,1,0.9997164224019289,True positive,4.406719247264253,1,19.208973105801483,0.03887987695719184
R175_C030,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R065_C033,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R042_C062,2024,0,0,0.0002477300319792436,True negative,1.9459101490553128,0,2.779670312392786,-0.0024816942738633083
R014_C035,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R021_C078,2024,0,0,0.005039993971908603,True negative,2.3978952727983707,0,5.797295881761715,-0.0024816942738633083
R074_C091,2024,0,0,5.9083840806754096e-06,True negative,1.3862943611198906,0,-0.9565387396034916,-0.0024816942738633083
R076_C033,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R020_C078,2024,0,0,0.27524593511421913,True negative,3.044522437723423,0,10.114426168190413,-0.0024816942738633083
R014_C027,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R107_C040,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R061_C116,2024,0,0,0.002673672923127726,True negative,2.302585092994046,0,5.160968665465588,-0.0024816942738633083
R082_C080,2024,0,0,0.005039993971908603,True negative,2.3978952727983707,0,5.797295881761715,-0.0024816942738633083
R032_C089,2024,1,1,0.999998885704811,True positive,5.236441962829949,1,24.748519321930072,0.03887987695719184
R053_C094,2024,0,0,8.852897499702268e-05,True negative,1.791759469228055,0,1.7505014115889328,-0.0024816942738633083
R117_C055,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R026_C055,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R020_C063,2024,0,0,5.9083840806754096e-06,True negative,1.3862943611198906,0,-0.9565387396034916,-0.0024816942738633083
R059_C098,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R022_C068,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R049_C104,2024,0,0,5.9083840806754096e-06,True negative,1.3862943611198906,0,-0.9565387396034916,-0.0024816942738633083
R021_C044,2024,0,0,8.65629632656729e-07,True negative,1.0986122886681096,0,-2.8772142930162667,-0.0024816942738633083
