grid_id,hotspot_2020,hotspot_2021,hotspot_2022,hotspot_2023,hotspot_2024,hotspot_years,hotspot_proportion,persistence_score,persistence_category,longest_hotspot_run,early_hotspot_years,late_hotspot_years,early_hotspot_rate,late_hotspot_rate,hotspot_change_score,collision_count_2020,collision_count_2021,collision_count_2022,collision_count_2023,collision_count_2024,early_mean_collision_count,late_mean_collision_count,collision_count_change,pattern_category
R018_C031,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,5,6,8,6,5,5.5,5.5,0.0,Never hotspot
R018_C032,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,1,3,4,2,2,2.0,2.0,0.0,Never hotspot
R018_C033,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,4,4,7,7,5,4.0,6.0,2.0,Never hotspot
R018_C034,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,3,2,2,2,2,2.5,2.0,-0.5,Never hotspot
R018_C035,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,2,6,3,1,2,4.0,1.5,-2.5,Never hotspot
R018_C036,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,2,2,1,0,2,2.0,1.0,-1.0,Never hotspot
R018_C037,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,5,1,0,2,3,3.0,2.5,-0.5,Never hotspot
R018_C038,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,3,2,4,7,0,2.5,3.5,1.0,Never hotspot
R018_C039,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,1,1,4,1,1,1.0,1.0,0.0,Never hotspot
R018_C040,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,6,3,5,2,2,4.5,2.0,-2.5,Never hotspot
R018_C041,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,0,1,0,3,5,0.5,4.0,3.5,Never hotspot
R018_C042,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,1,2,1,6,1,1.5,3.5,2.0,Never hotspot
R018_C043,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,4,6,7,7,8,5.0,7.5,2.5,Never hotspot
R018_C044,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,1,1,0,2,1,1.0,1.5,0.5,Never hotspot
R018_C045,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,1,2,4,1,4,1.5,2.5,1.0,Never hotspot
R018_C046,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,4,6,2,3,6,5.0,4.5,-0.5,Never hotspot
R018_C047,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,4,5,4,6,4,4.5,5.0,0.5,Never hotspot
R018_C048,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,2,1,3,0,2,1.5,1.0,-0.5,Never hotspot
R018_C049,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,2,2,3,3,2,2.0,2.5,0.5,Never hotspot
R018_C050,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,17,13,30,19,16,15.0,17.5,2.5,Never hotspot
R018_C051,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,2,1,1,3,1,1.5,2.0,0.5,Never hotspot
