grid_id,year,collision_count,fatal_count,serious_count,slight_count,total_severity_score,mean_severity_score,occupied_in_year,zero_collision_year,grid_row,grid_col,cell_size_m,cell_area_km2,centroid_easting,centroid_northing
R004_C017,2023,9,1,2,6,13.0,1.4444444444444444,1,0,4,17,5000,25.0,152500.0,32500.0
R004_C017,2024,14,0,2,12,16.0,1.1428571428571428,1,0,4,17,5000,25.0,152500.0,32500.0
R004_C018,2020,5,0,0,5,5.0,1.0,1,0,4,18,5000,25.0,157500.0,32500.0
R004_C018,2021,2,0,0,2,2.0,1.0,1,0,4,18,5000,25.0,157500.0,32500.0
R004_C018,2022,3,0,0,3,3.0,1.0,1,0,4,18,5000,25.0,157500.0,32500.0
R004_C018,2023,4,0,2,2,6.0,1.5,1,0,4,18,5000,25.0,157500.0,32500.0
R004_C018,2024,3,0,2,1,5.0,1.6666666666666667,1,0,4,18,5000,25.0,157500.0,32500.0
R004_C019,2020,7,0,5,2,12.0,1.7142857142857142,1,0,4,19,5000,25.0,162500.0,32500.0
R004_C019,2021,3,0,0,3,3.0,1.0,1,0,4,19,5000,25.0,162500.0,32500.0
R004_C019,2022,3,0,3,0,6.0,2.0,1,0,4,19,5000,25.0,162500.0,32500.0
R004_C019,2023,3,0,1,2,4.0,1.3333333333333333,1,0,4,19,5000,25.0,162500.0,32500.0
R004_C019,2024,10,0,3,7,13.0,1.3,1,0,4,19,5000,25.0,162500.0,32500.0
R004_C020,2020,2,0,0,2,2.0,1.0,1,0,4,20,5000,25.0,167500.0,32500.0
R004_C020,2021,4,0,1,3,5.0,1.25,1,0,4,20,5000,25.0,167500.0,32500.0
R004_C020,2022,2,1,0,1,4.0,2.0,1,0,4,20,5000,25.0,167500.0,32500.0
R004_C020,2023,2,0,0,2,2.0,1.0,1,0,4,20,5000,25.0,167500.0,32500.0
R004_C020,2024,3,0,1,2,4.0,1.3333333333333333,1,0,4,20,5000,25.0,167500.0,32500.0
R004_C021,2020,2,0,0,2,2.0,1.0,1,0,4,21,5000,25.0,172500.0,32500.0
R004_C021,2021,5,0,2,3,7.0,1.4,1,0,4,21,5000,25.0,172500.0,32500.0
R004_C021,2022,8,0,2,6,10.0,1.25,1,0,4,21,5000,25.0,172500.0,32500.0
R004_C021,2023,5,0,2,3,7.0,1.4,1,0,4,21,5000,25.0,172500.0,32500.0
R004_C021,2024,7,0,1,6,8.0,1.1428571428571428,1,0,4,21,5000,25.0,172500.0,32500.0
R004_C022,2020,27,0,5,22,32.0,1.1851851851851851,1,0,4,22,5000,25.0,177500.0,32500.0
R004_C022,2021,19,0,1,18,20.0,1.0526315789473684,1,0,4,22,5000,25.0,177500.0,32500.0
R004_C022,2022,27,1,5,21,34.0,1.2592592592592593,1,0,4,22,5000,25.0,177500.0,32500.0
R004_C022,2023,26,1,2,23,30.0,1.1538461538461537,1,0,4,22,5000,25.0,177500.0,32500.0
R004_C022,2024,24,0,5,19,29.0,1.2083333333333333,1,0,4,22,5000,25.0,177500.0,32500.0
R004_C023,2020,7,0,1,6,8.0,1.1428571428571428,1,0,4,23,5000,25.0,182500.0,32500.0
R004_C023,2021,14,0,5,9,19.0,1.3571428571428572,1,0,4,23,5000,25.0,182500.0,32500.0
R004_C023,2022,13,0,3,10,16.0,1.2307692307692308,1,0,4,23,5000,25.0,182500.0,32500.0
R004_C023,2023,14,0,5,9,19.0,1.3571428571428572,1,0,4,23,5000,25.0,182500.0,32500.0
R004_C023,2024,15,0,2,13,17.0,1.1333333333333333,1,0,4,23,5000,25.0,182500.0,32500.0
R004_C024,2020,0,0,0,0,0.0,,0,1,4,24,5000,25.0,187500.0,32500.0
R004_C024,2021,0,0,0,0,0.0,,0,1,4,24,5000,25.0,187500.0,32500.0
R004_C024,2022,0,0,0,0,0.0,,0,1,4,24,5000,25.0,187500.0,32500.0
R004_C024,2023,0,0,0,0,0.0,,0,1,4,24,5000,25.0,187500.0,32500.0
R004_C024,2024,1,0,0,1,1.0,1.0,1,0,4,24,5000,25.0,187500.0,32500.0
R005_C015,2020,0,0,0,0,0.0,,0,1,5,15,5000,25.0,142500.0,37500.0
R005_C015,2021,0,0,0,0,0.0,,0,1,5,15,5000,25.0,142500.0,37500.0
R005_C015,2022,0,0,0,0,0.0,,0,1,5,15,5000,25.0,142500.0,37500.0
R005_C015,2023,0,0,0,0,0.0,,0,1,5,15,5000,25.0,142500.0,37500.0
R005_C015,2024,1,0,0,1,1.0,1.0,1,0,5,15,5000,25.0,142500.0,37500.0
R005_C016,2020,3,0,1,2,4.0,1.3333333333333333,1,0,5,16,5000,25.0,147500.0,37500.0
R005_C016,2021,1,0,0,1,1.0,1.0,1,0,5,16,5000,25.0,147500.0,37500.0
R005_C016,2022,1,0,0,1,1.0,1.0,1,0,5,16,5000,25.0,147500.0,37500.0
R005_C016,2023,3,0,1,2,4.0,1.3333333333333333,1,0,5,16,5000,25.0,147500.0,37500.0
